,AAPL,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,information,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2001/1/2 21:00,,0,0,-0.819435372,0.274520176,0,0,0,100000,0,0,-0.819435372,0,,0,0,0,0,0,0,"[{'status': 0, 'created': Timestamp('2001-01-02 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 0, 'reason': None, 'limit': None, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'dt': Timestamp('2001-01-02 00:00:00+0000', tz='UTC', offset='C'), 'id': 'd489c9bfcc044ac7a1b5a3332b5e42a8', 'filled': 0}]",2001-01-02 21:00:00+00:00,1-Jan,2001-01-02 14:31:00+00:00,0,100000,[],0,,0,0,0,0,100000,0,0,1,[],0.819435372
2001/1/3 21:00,,0.000112789,-1.00E-05,-0.962291658,1.229493132,5.329170031,-2.12E-05,-122.0048015,99877.9952,121,121,-0.964293955,0.001210012,-1373518.93,121,121,1,1.00E-05,0,0.001210012,"[{'status': 1, 'created': Timestamp('2001-01-02 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 1.0, 'reason': None, 'limit': None, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'dt': Timestamp('2001-01-03 00:00:00+0000', tz='UTC', offset='C'), 'id': 'd489c9bfcc044ac7a1b5a3332b5e42a8', 'filled': 10}, {'status': 0, 'created': Timestamp('2001-01-03 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 0, 'reason': None, 'limit': None, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'dt': Timestamp('2001-01-03 00:00:00+0000', tz='UTC', offset='C'), 'id': '7ff92783d6c34681bbb06b6adea4d96a', 'filled': 0}]",2001-01-03 21:00:00+00:00,1-Jan,2001-01-03 14:31:00+00:00,-1.004801511,99998.9952,"[{'amount': 10, 'last_sale_price': 12.1, 'cost_basis': 12.200480151108712, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None)}]",-1.00E-05,-8560.698397,0,0,0,0,100000,0,0,2,"[{'commission': None, 'amount': 10, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'order_id': 'd489c9bfcc044ac7a1b5a3332b5e42a8', 'price': 12.100480151108712, 'dt': Timestamp('2001-01-03 00:00:00+0000', tz='UTC', offset='C')}]",0.964283907
2001/1/4 21:00,,0.000874089,7.99E-05,-0.800919689,2.735148021,4.055088748,6.10E-05,-132.0051777,99745.99002,262,262,-0.793581617,0.002619791,-262840.1331,262,262,1,1.00E-05,0,0.002619791,"[{'status': 1, 'created': Timestamp('2001-01-03 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 1.0, 'reason': None, 'limit': None, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'dt': Timestamp('2001-01-04 00:00:00+0000', tz='UTC', offset='C'), 'id': '7ff92783d6c34681bbb06b6adea4d96a', 'filled': 10}, {'status': 0, 'created': Timestamp('2001-01-04 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 0, 'reason': None, 'limit': None, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'dt': Timestamp('2001-01-04 00:00:00+0000', tz='UTC', offset='C'), 'id': 'aa7e3a4c837542ca977c07ee16e06550', 'filled': 0}]",2001-01-04 21:00:00+00:00,1-Jan,2001-01-04 14:31:00+00:00,8.994822319,100007.99,"[{'amount': 20, 'last_sale_price': 13.1, 'cost_basis': 12.700498959625673, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None)}]",8.99E-05,-900.3084562,0,0,0,0,99877.9952,121,121,3,"[{'commission': None, 'amount': 10, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'order_id': '7ff92783d6c34681bbb06b6adea4d96a', 'price': 13.100517768142636, 'dt': Timestamp('2001-01-04 00:00:00+0000', tz='UTC', offset='C')}]",0.793661517
2001/1/5 21:00,,0.001479621,0.000269845,-0.58205705,4.920411442,3.314282618,7.84E-05,-142.0055508,99603.98447,423,423,-0.574534813,0.004228859,-209492.1016,423,423,1,1.00E-05,0,0.004228859,"[{'status': 1, 'created': Timestamp('2001-01-04 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 1.0, 'reason': None, 'limit': None, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'dt': Timestamp('2001-01-05 00:00:00+0000', tz='UTC', offset='C'), 'id': 'aa7e3a4c837542ca977c07ee16e06550', 'filled': 10}, {'status': 0, 'created': Timestamp('2001-01-05 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 0, 'reason': None, 'limit': None, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'dt': Timestamp('2001-01-05 00:00:00+0000', tz='UTC', offset='C'), 'id': '9cab1ee5cdb5471881d804b56f0f19e3', 'filled': 0}]",2001-01-05 21:00:00+00:00,1-Jan,2001-01-05 14:31:00+00:00,18.99444917,100026.9845,"[{'amount': 30, 'last_sale_price': 14.1, 'cost_basis': 13.200517667465238, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None)}]",0.000189929,-376.991424,0,0,0,0,99745.99002,262,262,4,"[{'commission': None, 'amount': 10, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'order_id': 'aa7e3a4c837542ca977c07ee16e06550', 'price': 14.100555083144368, 'dt': Timestamp('2001-01-05 00:00:00+0000', tz='UTC', offset='C')}]",0.574804658
2001/1/8 21:00,,0.005976284,0.001159778,-0.811698467,8.1243487,2.878080613,-7.15E-05,-172.0066524,99431.97782,684,684,-0.898214757,0.006832076,-68505.56496,684,684,1,1.00E-05,0,0.006832076,"[{'status': 1, 'created': Timestamp('2001-01-05 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 1.0, 'reason': None, 'limit': None, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'dt': Timestamp('2001-01-08 00:00:00+0000', tz='UTC', offset='C'), 'id': '9cab1ee5cdb5471881d804b56f0f19e3', 'filled': 10}, {'status': 0, 'created': Timestamp('2001-01-08 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 0, 'reason': None, 'limit': None, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'dt': Timestamp('2001-01-08 00:00:00+0000', tz='UTC', offset='C'), 'id': '4bc9ffe160de491dbd4558182f976357', 'filled': 0}]",2001-01-08 21:00:00+00:00,1-Jan,2001-01-08 14:31:00+00:00,88.99334757,100115.9778,"[{'amount': 40, 'last_sale_price': 17.100000000000001, 'cost_basis': 14.200554561302335, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None)}]",0.000889693,-140.7097947,0,0,0,0,99603.98447,423,423,5,"[{'commission': None, 'amount': 10, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'order_id': '9cab1ee5cdb5471881d804b56f0f19e3', 'price': 17.10066524281363, 'dt': Timestamp('2001-01-08 00:00:00+0000', tz='UTC', offset='C')}]",0.899374535
2001/1/9 21:00,,0.005442023,0.001549708,-0.255686143,16.39306472,3.39335927,0.000154913,-182.0070138,99249.9708,905,905,-0.212598512,0.009035997,-126505.1001,905,905,1,1.00E-05,0,0.009035997,"[{'status': 1, 'created': Timestamp('2001-01-08 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 1.0, 'reason': None, 'limit': None, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'dt': Timestamp('2001-01-09 00:00:00+0000', tz='UTC', offset='C'), 'id': '4bc9ffe160de491dbd4558182f976357', 'filled': 10}, {'status': 0, 'created': Timestamp('2001-01-09 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 0, 'reason': None, 'limit': None, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'dt': Timestamp('2001-01-09 00:00:00+0000', tz='UTC', offset='C'), 'id': '6bba4ff710d14d058b0c11d1b6a0b09f', 'filled': 0}]",2001-01-09 21:00:00+00:00,1-Jan,2001-01-09 14:31:00+00:00,38.99298624,100154.9708,"[{'amount': 50, 'last_sale_price': 18.100000000000001, 'cost_basis': 15.000583924322418, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None)}]",0.000389478,-27.39063952,0,0,0,0,99431.97782,684,684,6,"[{'commission': None, 'amount': 10, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'order_id': '4bc9ffe160de491dbd4558182f976357', 'price': 18.100701376402753, 'dt': Timestamp('2001-01-09 00:00:00+0000', tz='UTC', offset='C')}]",0.21414822
2001/1/10 21:00,,0.005157586,0.002039634,-0.508661877,19.46293702,4.091264579,-0.000132492,-192.0073722,99057.96343,1146,1146,-0.672792604,0.011436673,-135837.2539,1146,1146,1,1.00E-05,0,0.011436673,"[{'status': 1, 'created': Timestamp('2001-01-09 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 1.0, 'reason': None, 'limit': None, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'dt': Timestamp('2001-01-10 00:00:00+0000', tz='UTC', offset='C'), 'id': '6bba4ff710d14d058b0c11d1b6a0b09f', 'filled': 10}, {'status': 0, 'created': Timestamp('2001-01-10 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 0, 'reason': None, 'limit': None, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'dt': Timestamp('2001-01-10 00:00:00+0000', tz='UTC', offset='C'), 'id': 'a16fa85a8b84466c9b3a5d34bae51138', 'filled': 0}]",2001-01-10 21:00:00+00:00,1-Jan,2001-01-10 14:31:00+00:00,48.99262779,100203.9634,"[{'amount': 60, 'last_sale_price': 19.100000000000001, 'cost_basis': 15.700609473798336, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None)}]",0.000489168,-116.6059885,0,0,0,0,99249.9708,905,905,7,"[{'commission': None, 'amount': 10, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'order_id': '6bba4ff710d14d058b0c11d1b6a0b09f', 'price': 19.100737221177933, 'dt': Timestamp('2001-01-10 00:00:00+0000', tz='UTC', offset='C')}]",0.674832238
2001/1/11 21:00,,0.005058613,0.002629557,0.080385241,20.57957019,4.726535727,-0.000296432,-202.0077278,98855.9557,1407,1407,-0.191922772,0.014033099,-128132.674,1407,1407,1,1.00E-05,0,0.014033099,"[{'status': 1, 'created': Timestamp('2001-01-10 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 1.0, 'reason': None, 'limit': None, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'dt': Timestamp('2001-01-11 00:00:00+0000', tz='UTC', offset='C'), 'id': 'a16fa85a8b84466c9b3a5d34bae51138', 'filled': 10}, {'status': 0, 'created': Timestamp('2001-01-11 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 0, 'reason': None, 'limit': None, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'dt': Timestamp('2001-01-11 00:00:00+0000', tz='UTC', offset='C'), 'id': '0b407dc31cec4b7ab3c1859aeaa4177d', 'filled': 0}]",2001-01-11 21:00:00+00:00,1-Jan,2001-01-11 14:31:00+00:00,58.9922722,100262.9557,"[{'amount': 70, 'last_sale_price': 20.100000000000001, 'cost_basis': 16.343489946070019, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None)}]",0.000588722,-22.08535799,0,0,0,0,99057.96343,1146,1146,8,"[{'commission': None, 'amount': 10, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'order_id': 'a16fa85a8b84466c9b3a5d34bae51138', 'price': 20.100772779700115, 'dt': Timestamp('2001-01-11 00:00:00+0000', tz='UTC', offset='C')}]",0.194552329
2001/1/12 21:00,,0.005100451,0.003319476,-0.361712735,22.73613932,4.891327072,-0.000408665,-212.0080805,98643.94762,1688,1688,-0.711207774,0.016824153,-124796.6088,1688,1688,1,1.00E-05,0,0.016824153,"[{'status': 1, 'created': Timestamp('2001-01-11 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 1.0, 'reason': None, 'limit': None, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'dt': Timestamp('2001-01-12 00:00:00+0000', tz='UTC', offset='C'), 'id': '0b407dc31cec4b7ab3c1859aeaa4177d', 'filled': 10}, {'status': 0, 'created': Timestamp('2001-01-12 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 0, 'reason': None, 'limit': None, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'dt': Timestamp('2001-01-12 00:00:00+0000', tz='UTC', offset='C'), 'id': 'c30b95c32eb9472bbcae44d04ec12805', 'filled': 0}]",2001-01-12 21:00:00+00:00,1-Jan,2001-01-12 14:31:00+00:00,68.99191946,100331.9476,"[{'amount': 80, 'last_sale_price': 21.100000000000001, 'cost_basis': 16.9506547096242, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None)}]",0.00068811,-121.8680364,0,0,0,0,98855.9557,1407,1407,9,"[{'commission': None, 'amount': 10, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'order_id': '0b407dc31cec4b7ab3c1859aeaa4177d', 'price': 21.100808054503471, 'dt': Timestamp('2001-01-12 00:00:00+0000', tz='UTC', offset='C')}]",0.71452725
2001/1/16 21:00,,0.014908052,0.006509382,-1.047993826,38.36271133,4.727153035,0.000267101,-252.0094637,98391.93816,2259,2259,-0.947558371,0.022443904,-64835.85486,2259,2259,1,1.00E-05,0,0.022443904,"[{'status': 1, 'created': Timestamp('2001-01-12 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 1.0, 'reason': None, 'limit': None, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'dt': Timestamp('2001-01-16 00:00:00+0000', tz='UTC', offset='C'), 'id': 'c30b95c32eb9472bbcae44d04ec12805', 'filled': 10}, {'status': 0, 'created': Timestamp('2001-01-16 00:00:00+0000', tz='UTC', offset='C'), 'limit_reached': False, 'stop': None, 'amount': 10, 'stop_reached': False, 'commission': 0, 'reason': None, 'limit': None, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'dt': Timestamp('2001-01-16 00:00:00+0000', tz='UTC', offset='C'), 'id': '7acf0a65b0444a5e8ae582f62a2430bb', 'filled': 0}]",2001-01-16 21:00:00+00:00,1-Jan,2001-01-16 14:31:00+00:00,318.9905363,100650.9382,"[{'amount': 90, 'last_sale_price': 25.100000000000001, 'cost_basis': 17.867353782587379, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None)}]",0.003179352,-52.99359985,0,0,0,0,98643.94762,1688,1688,10,"[{'commission': None, 'amount': 10, 'sid': Equity(0, symbol=u'AAPL', asset_name=None, exchange=u'TEST', start_date=Timestamp('2001-01-01 00:00:00+0000', tz='UTC'), end_date=Timestamp('2001-09-21 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None), 'order_id': 'c30b95c32eb9472bbcae44d04ec12805', 'price': 25.100946366292771, 'dt': Timestamp('2001-01-16 00:00:00+0000', tz='UTC', offset='C')}]",0.954067753
